Protein_A,Protein_B,label
P79522,Q7Z2W4,1
Q15415,Q86TM3,0
Q05519,Q13242,1
P08621,P09012,1
Q15397,Q9H9Z2,1
Q13243,Q7Z2W4,1
P10155,P84103,1
Q15397,Q9H361,0
Q05519,Q8WXF0,1
Q15397,Q7Z2W4,1
Q13243,Q96K80,1
O15047,P98179,0
O75494,Q9BYG3,0
Q8N5P1,Q9Y2T7,1
P79522,Q9BTD8,0
Q12872,Q9BZC1,0
P08621,Q8WXF0,1
Q13243,Q9BYG3,1
A6NDE4,O15504,0
Q15397,Q7Z2W4,1
P08621,P09012,1
Q15397,Q9BYG3,1
O95319,Q86U06,0
Q08170,Q8WXF0,1
P09012,Q13064,0
Q15397,Q9BYG3,1
Q8IWZ8,Q92945,0
P48200,Q86V81,1
O75152,P84103,1
Q9BYG3,Q9H9Z2,1
O43251,Q9NR90,0
O95104,Q8N5P1,0
Q8N6W0,Q9BWF3,0
Q15397,Q9BWF3,1
P79522,Q8N5P1,1
O15504,Q96J87,0
Q13243,Q9BYG3,1
Q8WXF0,Q9H9Z2,1
Q07955,Q8N5P1,1
O95218,P04406,0
Q8N5P1,Q9NXG2,1
P09651,Q16600,0
Q05519,Q07955,0
O60812,O75152,1
P08621,P09012,1
Q14151,Q9BZC1,0
Q13242,Q9NXG2,0
Q07955,Q15397,1
Q8N2M8,Q9Y2T7,0
P79522,Q8N5P1,1
Q08170,Q9Y2T7,1
Q6ZN04,Q8IWZ8,0
Q08170,Q13243,1
P04406,P55795,0
P08621,Q01130,0
Q15397,Q9H9Z2,1
O75152,P84103,1
Q8N5P1,Q9NXG2,1
P55795,Q96K80,0
Q05519,Q13242,1
Q15397,Q9H9Z2,1
P09012,P63162,1
P10155,P84103,1
O15541,Q16600,0
P10155,Q8WXA9,0
Q8WXF0,Q9H9Z2,1
Q92879,Q9UPT8,0
P48200,Q460N5,0
O60812,O75152,1
Q8WXF0,Q9H9Z2,1
P47974,Q8N6W0,0
Q08170,Q9Y2T7,1
O60812,Q96K80,1
Q13243,Q9H9Z2,1
P09012,P26651,0
Q9NQS3,Q9UPS6,0
P10155,Q8N5P1,0
O60812,O75152,1
Q08170,Q8WXF0,1
P48200,Q86V81,1
Q13243,Q9H9Z2,1
O60812,O75152,1
Q8N5P1,Q9Y2T7,1
Q8WXF0,Q9H9Z2,1
Q15397,Q9H9Z2,1
P48200,Q9H9Z2,1
Q05519,Q08170,1
P09012,P63162,1
Q05519,Q13242,1
Q15397,Q9BYG3,1
Q7Z2W4,Q9H9Z2,1
Q15397,Q7Z2W4,1
O75152,Q14151,1
Q8N5P1,Q9NXG2,1
O43251,Q9BRA0,0
Q7Z2T5,Q9NWB1,0
A6NDE4,Q96PK6,0
Q07955,Q7Z2W4,1
P79522,Q8N5P1,1
Q13243,Q9H9Z2,1
P08621,P09012,1
Q13243,Q15397,1
O14979,Q9H0J9,0
Q4VXU2,Q9UPS6,0
Q6ZN04,Q9UPN6,0
P79522,Q9BWF3,0
Q15365,Q9NXG2,0
Q8N5P1,Q9H9Z2,1
O60812,O75152,1
O60812,Q9UPN6,0
Q15397,Q9BWF3,1
Q8N5P1,Q9Y2T7,1
Q15397,Q96K80,1
Q08170,Q13243,1
Q05519,Q08170,1
O95319,Q13243,0
Q07955,Q13243,1
O60812,P26651,0
P60484,P79522,0
Q460N5,Q8NDT2,0
P0DJD3,Q53GL7,0
P48200,Q8N2M8,0
Q07955,Q15397,1
Q07955,Q13243,1
P09012,P63162,1
Q96K80,Q9BX46,0
Q9H361,Q9NWB1,0
Q07955,Q8N5P1,1
P10155,Q7Z2T5,0
P08621,P79522,0
P09651,Q53GL7,0
Q15397,Q9BWF3,1
Q86U42,Q9BYG3,0
Q8N5P1,Q9NQS3,0
P08621,Q8WXF0,1
Q9NXG2,Q9Y4F3,0
P52597,Q15397,0
Q96J87,Q9NQZ3,0
Q13243,Q7Z2W4,1
O43251,Q7Z2T5,0
Q5SZQ8,Q9NXG2,0
Q8WXF0,Q9H9Z2,1
Q05519,Q13242,1
Q13243,Q9H9Z2,1
Q7Z2W4,Q9H9Z2,1
P08621,Q8WXF0,1
Q8N5P1,Q9Y2T7,1
Q7Z2W4,Q9BYG3,1
Q16600,Q86TM3,0
Q13243,Q9BYG3,1
P79522,Q7Z2W4,1
P08621,Q9BTD8,0
Q5SZQ8,Q8WVV9,0
Q13243,Q9BYG3,1
P08621,P09012,1
O75152,Q9NR90,0
O75152,Q14151,1
P47974,P60484,0
Q07955,Q13117,0
P26368,P48200,0
P52597,Q9BZC1,0
Q05519,Q9BYG3,0
P41214,Q96J87,0
Q08170,Q8WXF0,1
P10155,P48200,0
Q8N5P1,Q9H9Z2,1
O75152,Q86U42,0
Q15365,Q9UPT8,0
Q13243,Q7Z2W4,1
P84103,Q8WXF0,1
P41214,P98179,0
O75152,P84103,1
Q05519,Q13242,1
Q9BYG3,Q9H9Z2,1
Q07955,Q9BYG3,1
Q15397,Q9BYG3,1
Q460N5,Q8IWZ8,0
P84103,Q08170,1
Q16587,Q53GL7,0
P10155,Q9BTD8,0
P63162,Q9BYG3,0
O15541,Q13247,0
Q07955,Q7Z2W4,1
P08621,P09012,1
P08621,P60484,0
P52597,Q16629,0
P48200,Q9H9Z2,1
P26368,Q96J87,0
Q13243,Q9BYG3,1
O75152,P84103,1
Q13243,Q7Z2W4,1
P84103,Q4VXU2,0
P08621,Q8WXF0,1
Q08170,Q8WU68,0
P26651,P60484,0
Q8WXA9,Q99973,0
Q07955,Q8N5P1,1
Q13243,Q7Z2W4,1
P47974,Q92945,0
P84103,Q15397,1
O15504,Q8N2M8,0
Q86TM3,Q96J87,0
Q8N5P1,Q9NXG2,1
Q8WXA9,Q9NWB1,0
P08621,P63162,1
Q13243,Q9H9Z2,1
Q15365,Q9NWB1,0
O75494,Q96QC0,0
P57052,Q9UPN6,0
O95218,Q9H0L4,0
A6NDE4,P79522,0
Q08170,Q13243,1
Q86V81,Q96K80,0
Q6ZN04,Q86TM3,0
O15541,Q8WXA9,0
O43251,Q9BRL6,0
P60484,Q99973,0
O15504,Q13243,0
O14979,Q86V81,0
Q07955,Q8N5P1,1
Q01130,Q96K80,0
Q8N5P1,Q9NXG2,1
Q14151,Q9BYG3,0
Q9BYG3,Q9H9Z2,1
Q9BYG3,Q9Y2T7,1
Q05519,Q08170,1
Q86U42,Q9BZC1,0
Q05519,Q08170,1
Q9BYG3,Q9Y2T7,1
Q9BYG3,Q9Y2T7,1
O75152,P84103,1
O60812,Q96K80,1
Q05519,Q08170,1
Q07955,Q9BYG3,1
P0DJD3,P47974,0
O60812,Q96K80,1
P0DJD3,Q9NXG2,0
Q9BX46,Q9NQS3,0
Q08170,Q13243,1
P04406,P08621,0
Q9BZC1,Q9H0J9,0
O75152,P84103,1
P09012,Q53GL7,0
Q07955,Q7Z2W4,1
O15047,Q9UPS6,0
P10155,P84103,1
Q13243,Q15397,1
Q05519,Q13242,1
O43251,Q13242,0
Q15415,Q16587,0
O75152,Q01130,0
P60484,Q5SZQ8,0
P41214,Q9H0J9,0
Q08170,Q9Y2T7,1
O15504,Q9H361,0
Q14151,Q7Z2W4,0
Q8WVV9,Q9BYG3,0
Q8N5P1,Q9NXG2,1
Q16600,Q86V81,0
P55795,Q14151,0
O95758,Q92945,0
O75494,Q8WXA9,0
Q96J87,Q96K80,0
Q14151,Q9Y4F3,0
P09012,P63162,1
P48200,Q92879,0
Q86V81,Q8NDT2,0
P10155,P84103,1
P09012,P63162,1
P08621,P63162,1
O15047,Q05519,0
Q92945,Q9NQZ3,0
P10155,P84103,1
P26651,Q8WXA9,0
Q13242,Q14493,0
P0DJD3,P98179,0
Q07955,Q9BYG3,1
P48200,Q86V81,1
O60812,Q96K80,1
Q8WXF0,Q9H9Z2,1
P08621,P63162,1
O95218,Q13064,0
Q05519,Q7Z2T5,0
Q8N6W0,Q9BYG3,0
Q86V81,Q9BX46,0
P52597,Q86TM3,0
O15541,Q96K80,0
O15541,Q9BX46,0
P47974,Q9H361,0
Q07955,Q7Z2W4,1
Q8N2M8,Q9NQZ3,0
P48200,Q86V81,1
O60812,Q96K80,1
O60812,Q96PK6,0
Q05519,Q13242,1
O14979,P04406,0
P48200,Q9H9Z2,1
P09651,Q13242,0
Q13243,Q8WXA9,0
P79522,Q7Z2W4,1
Q13243,Q7Z2W4,1
Q08170,Q8WXF0,1
Q13243,Q8N6W0,0
Q05519,Q08170,1
Q14493,Q15415,0
Q13243,Q96K80,1
Q05519,Q08170,1
P79522,Q7Z2W4,1
P84103,Q15397,1
Q8N5P1,Q9Y2T7,1
P10155,P84103,1
O15042,Q9Y2T7,0
O14979,Q16600,0
Q7Z2T5,Q9UPS6,0
Q9BYG3,Q9H9Z2,1
O95104,Q9NR90,0
A6NDE4,Q9H0L4,0
P48200,Q9H9Z2,1
Q7Z2W4,Q96K80,1
Q14151,Q9H0L4,0
O95758,Q9H0J9,0
P57052,Q9Y2T7,0
Q08170,Q13243,1
P48200,Q86V81,1
Q8WVV9,Q9H0J9,0
P57052,P84103,0
Q15415,Q8WXF0,0
O15504,P08621,0
Q8WXF0,Q9H9Z2,1
O60812,Q01130,0
Q4VXU2,Q9Y2T7,0
Q12872,Q9BRA0,0
Q8N5P1,Q9H9Z2,1
Q969L4,Q9NQS3,0
O15504,Q08170,0
Q15397,Q9BWF3,1
Q13243,Q9BYG3,1
P79522,Q7Z2W4,1
Q13117,Q16600,0
O60812,O75152,1
Q86U06,Q86U42,0
P47974,P79522,0
Q13243,Q9BYG3,1
Q07955,Q9BYG3,1
Q92945,Q99973,0
Q9NR90,Q9Y4F3,0
O95104,Q9BYG3,0
Q13243,Q7Z2W4,1
P08621,Q8WXF0,1
P08621,P09012,1
P48200,Q86V81,1
P63162,Q96K80,0
P79522,Q8N5P1,1
Q15397,Q9BYG3,1
Q9BYG3,Q9Y2T7,1
Q07955,Q13243,1
Q8N5P1,Q9BYG3,0
Q7Z2W4,Q9BYG3,1
Q8N5P1,Q9NXG2,1
Q4VXU2,Q9NXG2,0
Q15397,Q96K80,1
O43251,Q8N6W0,0
O75152,Q13243,0
P79522,Q8N5P1,1
P84103,Q8WXF0,1
Q8WXA9,Q9UPS6,0
O15042,P04406,0
P84103,Q53GL7,0
Q07955,Q7Z2W4,1
Q9BYG3,Q9H9Z2,1
Q9BWF3,Q9BZC1,0
O95758,Q8N5P1,0
O95104,Q9BTD8,0
P09012,P63162,1
Q13064,Q14493,0
Q8WU68,Q8WXF0,0
P08621,Q92945,0
Q07955,Q9BYG3,1
Q8WXF0,Q9H9Z2,1
P48200,Q9H9Z2,1
Q07955,Q7Z2W4,1
Q08170,Q13243,1
Q86SG3,Q99973,0
Q9BYG3,Q9Y2T7,1
Q13243,Q15397,1
Q8WXA9,Q92879,0
Q16629,Q9NQZ3,0
P63162,Q96J87,0
P48200,Q8WVV9,0
O95758,Q13064,0
P08621,Q8WXF0,1
Q8IX01,Q96QC0,0
P08621,Q8WXF0,1
Q07955,Q8N5P1,1
Q16600,Q96QC0,0
O75494,P08621,0
Q13243,Q15397,1
P04406,Q13247,0
Q08170,Q13243,1
Q08170,Q8WXF0,1
P0DJD3,Q8WVV9,0
P84103,Q08170,1
Q07955,Q13243,1
Q15397,Q9BWF3,1
Q9BRL6,Q9NQS3,0
Q53GL7,Q86TM3,0
P52597,Q9BRA0,0
P08621,P09012,1
Q7Z2W4,Q9BYG3,1
O43251,Q9BWF3,0
O15047,Q92879,0
Q13242,Q8WVV9,0
Q08170,Q13243,1
P04406,Q4VXU2,0
P08621,P26368,0
P09012,P63162,1
Q9BYG3,Q9H9Z2,1
P84103,Q8WXF0,1
O75152,P84103,1
Q07955,Q13243,1
Q7Z2W4,Q9H9Z2,1
Q15397,Q96K80,1
Q8N6W0,Q9BTD8,0
Q7Z2W4,Q96K80,1
Q9BYG3,Q9H9Z2,1
P79522,Q8N5P1,1
Q07955,Q15397,1
Q8WXF0,Q92879,0
P84103,Q15397,1
Q13243,Q9H9Z2,1
P63162,Q96QC0,0
P09012,P63162,1
Q15397,Q96K80,1
Q16629,Q96J87,0
Q13243,Q9H9Z2,1
P79522,Q14151,0
P26368,Q9UPN6,0
P08621,P63162,1
Q07955,Q8N5P1,1
Q05519,Q8WXF0,1
Q7Z2W4,Q9GZT3,0
P10155,P84103,1
Q08170,Q13243,1
P84103,Q8WU68,0
Q92879,Q9NWB1,0
Q15415,Q86U42,0
Q15397,Q9BWF3,1
P09012,P63162,1
Q15397,Q9H9Z2,1
Q8WXF0,Q9H9Z2,1
Q92945,Q9BWF3,0
Q86U06,Q8NDT2,0
P09651,Q5SZQ8,0
P57052,Q86V81,0
Q8N5P1,Q9Y2T7,1
Q08170,Q9Y2T7,1
Q14493,Q15365,0
Q05519,Q08170,1
Q15397,Q9H9Z2,1
Q15397,Q96K80,1
Q96K80,Q9BYG3,1
O14979,Q8WU68,0
Q9BYG3,Q9H9Z2,1
Q05519,Q13242,1
Q7Z2W4,Q9BYG3,1
P55795,Q9BRL6,0
Q14151,Q9NWB1,0
O95218,P41214,0
P10155,P84103,1
P10155,P84103,1
O60812,Q13247,0
Q07955,Q15397,1
Q9BRL6,Q9UPT8,0
O14979,Q9BZC1,0
P79522,Q7Z2W4,1
Q15397,Q9BTD8,0
Q15397,Q9NR90,0
Q15415,Q16629,0
Q05519,Q13243,0
P60484,Q14493,0
Q13247,Q9UNW9,0
Q7Z2W4,Q9H9Z2,1
Q12872,Q86TM3,0
Q13064,Q9GZT3,0
Q05519,Q13242,1
Q86TM3,Q9BZC1,0
O75152,Q14151,1
P08621,P63162,1
P10155,Q9H0J9,0
O95319,Q14151,0
O95104,Q08170,0
O15042,P57052,0
Q7Z2W4,Q9H9Z2,1
Q9BYG3,Q9H9Z2,1
Q8N5P1,Q9Y2T7,1
O43251,P57052,0
Q08170,Q8WXF0,1
P98179,Q15415,0
P08621,Q8WXF0,1
P84103,Q08170,1
Q15397,Q96K80,1
Q07955,Q15397,1
O60812,Q96K80,1
P10155,Q8WXF0,0
Q08170,Q13243,1
Q15397,Q9BYG3,1
P63162,Q9GZT3,0
P47974,P98179,0
O43251,O75494,0
Q8NDT2,Q9BYG3,0
O15541,Q05519,0
O60812,Q96K80,1
O75152,Q14151,1
O60812,Q9NXG2,0
Q07955,Q15397,1
O15047,Q15397,0
P84103,Q8WXF0,1
P48200,Q9H361,0
Q8N5P1,Q9Y2T7,1
Q8N5P1,Q9Y2T7,1
Q9BYG3,Q9UPS6,0
P08621,P09012,1
O75152,P84103,1
Q13243,Q15397,1
P09012,Q9H0L4,0
P98179,Q9NR90,0
O15541,Q4VXU2,0
O14979,O15504,0
O95104,Q8WU68,0
Q05519,Q9H0L4,0
P79522,Q8N5P1,1
P84103,Q08170,1
Q15397,Q7Z2W4,1
O95218,Q969L4,0
Q9BYG3,Q9Y2T7,1
Q8WXF0,Q9H9Z2,1
O75152,Q14493,0
Q15397,Q7Z2W4,1
P08621,P09012,1
Q13243,Q9H9Z2,1
Q15397,Q9BYG3,1
P84103,Q8WXF0,1
P79522,Q9H361,0
Q7Z2W4,Q9H9Z2,1
P84103,Q8WXF0,1
Q13243,Q9H9Z2,1
Q13243,Q96K80,1
O75152,Q9BYG3,0
Q07955,Q13243,1
Q15415,Q99973,0
P08621,P09012,1
Q05519,Q13242,1
O60812,O75152,1
Q9BWF3,Q9H0L4,0
P10155,P26651,0
P55795,Q9Y4F3,0
P98179,Q08170,0
P63162,Q92945,0
O75152,Q14151,1
Q8WXF0,Q9H9Z2,1
Q96K80,Q9BYG3,1
P84103,Q86U06,0
P10155,P84103,1
Q14151,Q9GZT3,0
Q08170,Q96K80,1
Q05519,Q08170,1
Q13247,Q8IX01,0
P57052,Q86U06,0
Q07955,Q15397,1
O60812,Q96K80,1
O95218,Q86SG3,0
Q14151,Q9NQS3,0
P04406,Q9BX46,0
O75494,Q86V81,0
P84103,Q8WXF0,1
A6NDE4,Q96J87,0
Q08170,Q9UPN6,0
O75152,Q8WVV9,0
Q8WU68,Q9H0L4,0
P79522,Q8N5P1,1
P09651,Q9BX46,0
Q86U42,Q8WXA9,0
Q7Z2W4,Q96K80,1
P09012,P63162,1
Q9H0L4,Q9H361,0
O75152,P84103,1
Q8N5P1,Q9NXG2,1
Q07955,Q9BYG3,1
Q08170,Q8WXF0,1
Q01130,Q9BTD8,0
P08621,Q8WXF0,1
P08621,P48200,0
Q8WXF0,Q9H9Z2,1
Q13243,Q96K80,1
Q7Z2W4,Q9H9Z2,1
P10155,P84103,1
Q08170,Q8WXF0,1
O75152,P84103,1
P79522,Q8N5P1,1
P63162,Q9H0J9,0
P10155,P84103,1
Q15397,Q9BYG3,1
P26651,Q12872,0
Q13064,Q96PK6,0
O15047,Q9UPN6,0
Q14493,Q16600,0
O95104,Q13247,0
Q8N5P1,Q9NXG2,1
Q12872,Q9H0J9,0
Q9BYG3,Q9Y2T7,1
Q86U06,Q8IWZ8,0
P84103,Q13242,0
P21399,Q99973,0
P09012,P63162,1
Q8NDT2,Q9GZT3,0
P84103,Q08170,1
P08621,P09012,1
P60484,Q8NDT2,0
Q8WXF0,Q9H9Z2,1
Q05519,Q08170,1
Q13117,Q4VXU2,0
Q13064,Q9H0J9,0
O60812,Q15397,0
Q07955,Q13243,1
Q13243,Q9BYG3,1
O75152,Q14151,1
O95319,Q8WXA9,0
O75152,Q14151,1
Q13243,Q14151,0
Q9H9Z2,Q9NXG2,1
O75494,Q9H0L4,0
Q05519,Q8WXF0,1
Q07955,Q7Z2W4,1
Q7Z2W4,Q9H9Z2,1
P57052,Q15415,0
P08621,P63162,1
A6NDE4,Q53GL7,0
Q13117,Q8N6W0,0
Q08170,Q9BWF3,0
Q4VXU2,Q96PK6,0
Q15397,Q7Z2W4,1
Q08170,Q9H361,0
Q8N5P1,Q9Y2T7,1
P52597,Q96J87,0
O75152,Q14151,1
Q86U42,Q9H0L4,0
O75152,P09012,0
P09012,Q9BYG3,0
P09012,Q01130,0
P47974,Q7Z2T5,0
Q05519,Q8WXF0,1
Q9BRA0,Q9UPT8,0
P84103,Q96PK6,0
Q01130,Q15397,0
Q08170,Q13243,1
Q16587,Q8IX01,0
Q08170,Q9Y2T7,1
P41214,Q92945,0
Q8N5P1,Q9H9Z2,1
P08621,Q8WXF0,1
Q8N2M8,Q99973,0
O95319,Q9NQZ3,0
O75152,O75494,0
P84103,Q8WXF0,1
P84103,Q08170,1
Q07955,Q13243,1
Q13243,Q9H9Z2,1
Q13064,Q9UNW9,0
Q15397,Q96K80,1
P21399,Q92945,0
P57052,Q8IWZ8,0
P55795,Q460N5,0
Q8WU68,Q9BWF3,0
P26651,Q9NWB1,0
Q7Z2W4,Q9BYG3,1
P09012,P63162,1
O60812,O75152,1
P09012,Q12872,0
Q13243,Q96K80,1
P79522,Q7Z2W4,1
Q07955,Q13243,1
O95319,Q08170,0
Q8IX01,Q9UPN6,0
Q16629,Q86U42,0
Q7Z2W4,Q9BYG3,1
Q07955,Q7Z2W4,1
O75152,Q14151,1
Q05519,Q53GL7,0
Q8WXA9,Q9UPN6,0
P08621,Q13064,0
P84103,Q08170,1
P04406,Q9UPT8,0
O14979,Q99973,0
Q15397,Q96K80,1
Q07955,Q7Z2W4,1
Q9BZC1,Q9UNW9,0
Q7Z2T5,Q9H9Z2,0
P26651,Q13242,0
Q13243,Q9H9Z2,1
Q9BWF3,Q9BX46,0
Q05519,Q8WXF0,1
Q16600,Q9BX46,0
P09012,P63162,1
Q15397,Q7Z2W4,1
Q13064,Q13243,0
P08621,Q8WXF0,1
P48200,Q9H9Z2,1
P48200,Q86V81,1
Q9BYG3,Q9Y2T7,1
P10155,P84103,1
Q05519,Q6ZN04,0
Q08170,Q96K80,1
P47974,Q9NQZ3,0
P26368,Q9NR90,0
Q9H9Z2,Q9NXG2,1
Q8N5P1,Q9H9Z2,1
Q07955,Q13243,1
P09012,P63162,1
Q8IX01,Q92945,0
O15042,Q13064,0
Q4VXU2,Q9NR90,0
Q7Z2W4,Q9BYG3,1
P09012,P63162,1
P26651,Q9BTD8,0
O95218,Q9UPN6,0
Q08170,Q13243,1
Q15397,Q7Z2W4,1
Q07955,Q9BYG3,1
P84103,Q08170,1
Q7Z2W4,Q9H9Z2,1
O14979,Q969L4,0
Q8WU68,Q96PK6,0
Q07955,Q9BYG3,1
Q13242,Q9H0L4,0
Q05519,Q8WXF0,1
Q14151,Q86U42,0
Q9BX46,Q9UPN6,0
P0DJD3,Q8IX01,0
P60484,Q9GZT3,0
Q9BZC1,Q9H0L4,0
P84103,Q8N5P1,0
P21399,Q8IX01,0
O60812,Q96K80,1
P04406,Q05519,0
P09012,Q96K80,0
Q05519,Q08170,1
P48200,Q86V81,1
Q96PK6,Q9BWF3,0
Q05519,Q8WXF0,1
Q08170,Q8WXF0,1
Q969L4,Q9UNW9,0
Q86TM3,Q92945,0
Q86SG3,Q9Y2T7,0
P48200,Q9H9Z2,1
Q7Z2W4,Q9BYG3,1
A6NDE4,Q9Y4F3,0
O60812,Q96K80,1
O15047,Q9BRL6,0
Q8WXA9,Q9BWF3,0
P52597,Q13242,0
P09012,P63162,1
Q08170,Q13243,1
Q13243,Q7Z2W4,1
Q8WXF0,Q9H9Z2,1
Q16587,Q8WU68,0
P79522,Q9BRA0,0
Q05519,Q8WXF0,1
Q96QC0,Q9UNW9,0
Q15415,Q9GZT3,0
Q969L4,Q9UPS6,0
Q16587,Q9UPT8,0
Q16587,Q16629,0
O15504,Q13242,0
Q13243,Q15397,1
Q15397,Q96K80,1
O60812,O75152,1
Q08170,Q9Y2T7,1
Q86V81,Q969L4,0
Q07955,Q92945,0
Q13243,Q9H9Z2,1
P79522,Q7Z2W4,1
P79522,Q8N5P1,1
Q08170,Q9Y2T7,1
Q15397,Q96K80,1
P48200,Q15365,0
O95758,Q86SG3,0
Q15397,Q96K80,1
Q8WXF0,Q9H9Z2,1
Q08170,Q96K80,1
Q01130,Q08170,0
P09651,Q86U06,0
Q14151,Q15397,0
P84103,Q08170,1
P09012,P10155,0
Q9H9Z2,Q9NXG2,1
Q15397,Q9H9Z2,1
Q7Z2W4,Q9H9Z2,1
O60812,Q13064,0
Q05519,Q08170,1
Q9BX46,Q9UPS6,0
Q08170,Q9Y2T7,1
P41214,Q9NR90,0
P08621,P09012,1
O60812,O75152,1
P48200,Q13242,0
P48200,Q86V81,1
Q16587,Q9UNW9,0
Q05519,Q14151,0
P84103,Q8WXF0,1
Q07955,Q13243,1
P08621,P63162,1
Q13117,Q9Y2T7,0
Q8NDT2,Q9BRA0,0
P79522,Q8N5P1,1
Q05519,Q8WXF0,1
Q15397,Q9BWF3,1
P48200,Q86V81,1
P98179,Q9H0J9,0
Q9BRL6,Q9H361,0
A6NDE4,Q9NXG2,0
Q8N5P1,Q9H9Z2,1
Q460N5,Q9Y2T7,0
Q8WXF0,Q9NQS3,0
Q08170,Q13243,1
Q07955,Q13243,1
P08621,Q8WXF0,1
Q07955,Q15397,1
O43251,Q86TM3,0
Q86SG3,Q9BYG3,0
Q7Z2T5,Q9UPT8,0
Q5SZQ8,Q86V81,0
O75152,Q14151,1
Q16600,Q9UNW9,0
P48200,Q86V81,1
P10155,P47974,0
Q6ZN04,Q9H0J9,0
Q15397,Q7Z2W4,1
A6NDE4,Q8N5P1,0
P57052,Q9H0J9,0
P84103,Q8WXF0,1
O75152,Q14151,1
O14979,O75494,0
O60812,O75152,1
Q01130,Q8N6W0,0
Q9BYG3,Q9Y2T7,1
O15504,Q13117,0
Q05519,Q08170,1
Q14151,Q8N6W0,0
Q9BYG3,Q9Y2T7,1
P84103,Q969L4,0
Q01130,Q15365,0
Q16587,Q9GZT3,0
Q12872,Q92879,0
Q9H9Z2,Q9NXG2,1
Q07955,Q9NXG2,0
Q07955,Q7Z2W4,1
P08621,P09012,1
Q7Z2W4,Q9BYG3,1
P63162,Q12872,0
P84103,Q8WXF0,1
Q05519,Q08170,1
Q8IX01,Q99973,0
Q9BYG3,Q9Y2T7,1
O95319,Q9BWF3,0
Q86U42,Q86V81,0
O60812,O75152,1
O95218,Q8N2M8,0
O15504,Q8WU68,0
P84103,Q08170,1
O60812,O75152,1
Q15365,Q86V81,0
Q15397,Q9BWF3,1
P48200,Q86V81,1
O15047,Q16600,0
P48200,Q9H9Z2,1
Q14493,Q9BWF3,0
Q9GZT3,Q9H361,0
Q05519,Q08170,1
P0DJD3,Q86TM3,0
P79522,Q8N5P1,1
Q7Z2W4,Q9H9Z2,1
Q13242,Q96PK6,0
Q86V81,Q9NQZ3,0
Q7Z2W4,Q9BYG3,1
Q96K80,Q9H0L4,0
Q8N5P1,Q9NXG2,1
P08621,Q8WXF0,1
P48200,Q9H9Z2,1
O95319,P04406,0
O60812,O75152,1
O15047,P26368,0
Q05519,Q8WXF0,1
Q05519,Q8WXF0,1
Q8WXF0,Q9H9Z2,1
Q15397,Q9H9Z2,1
P60484,Q9UPS6,0
Q12872,Q8N5P1,0
Q07955,Q8IWZ8,0
P48200,Q9H9Z2,1
Q15397,Q7Z2W4,1
O75494,Q15365,0
P98179,Q8WVV9,0
Q8N6W0,Q9NQZ3,0
O15504,Q8NDT2,0
Q53GL7,Q9H0L4,0
Q96K80,Q9BYG3,1
Q07955,Q9BYG3,1
P52597,Q8WU68,0
Q05519,Q8WXF0,1
Q8N5P1,Q9H9Z2,1
Q05519,Q9UNW9,0
Q7Z2W4,Q96K80,1
Q8N5P1,Q9Y2T7,1
Q8N5P1,Q9NXG2,1
Q07955,Q15397,1
Q16629,Q8N5P1,0
Q07955,Q8N5P1,1
Q15415,Q9H9Z2,0
O75152,P84103,1
P26368,Q86V81,0
Q07955,Q7Z2W4,1
Q07955,Q15397,1
Q9BYG3,Q9Y2T7,1
Q15397,Q9H9Z2,1
P26368,Q9GZT3,0
P47974,Q99973,0
Q05519,Q08170,1
Q05519,Q8WXF0,1
O15047,Q4VXU2,0
P41214,Q8WXA9,0
Q8IWZ8,Q9H9Z2,0
Q96K80,Q9BYG3,1
Q9BYG3,Q9Y2T7,1
O15541,Q15365,0
Q15397,Q96K80,1
Q16629,Q9UPT8,0
Q13243,Q96K80,1
Q9BYG3,Q9H0J9,0
Q13243,Q96K80,1
P08621,Q8WXF0,1
O14979,Q9NXG2,0
P57052,Q8WU68,0
P84103,Q15397,1
O75494,Q13064,0
Q15397,Q7Z2W4,1
P79522,Q8N5P1,1
Q96K80,Q9BYG3,1
Q05519,Q13242,1
Q13243,Q9H9Z2,1
Q05519,Q8WXF0,1
P10155,P84103,1
P84103,Q15397,1
Q13243,Q15397,1
Q8N5P1,Q9NXG2,1
A6NDE4,Q8WXF0,0
Q8N5P1,Q9H9Z2,1
Q7Z2W4,Q9BTD8,0
Q15397,Q9BWF3,1
P04406,P26651,0
P48200,Q9H9Z2,1
Q05519,Q9NWB1,0
Q9H9Z2,Q9NXG2,1
Q8WXF0,Q9H9Z2,1
Q08170,Q92945,0
Q05519,Q13242,1
Q15397,Q9H9Z2,1
P48200,Q86V81,1
Q9H9Z2,Q9NXG2,1
P09012,P63162,1
Q6ZN04,Q9NQS3,0
Q05519,Q13242,1
Q05519,Q08170,1
P84103,Q9BWF3,0
Q8N5P1,Q9Y2T7,1
O60812,O75152,1
Q9H9Z2,Q9NXG2,1
Q86SG3,Q8WU68,0
P08621,P63162,1
P79522,Q7Z2W4,1
P52597,Q14151,0
O75152,Q4VXU2,0
Q9BYG3,Q9Y2T7,1
Q05519,Q13242,1
Q07955,Q96K80,0
O95319,Q86V81,0
Q15397,Q9BWF3,1
P08621,Q8WXF0,1
Q8N5P1,Q9NXG2,1
Q9BYG3,Q9H9Z2,1
P48200,Q07955,0
Q96K80,Q9BYG3,1
Q8N5P1,Q9H9Z2,1
Q7Z2W4,Q9BYG3,1
